X,Y,PUSHBUTTON_TYPE,INTERSECTION_ID,STATUS,ESTIMATED_YEAR_OF_IMPROVEMENT,YEAR_INSPECTED,GIS_ID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,GLOBALID,OBJECTID
-8570918.21011816,4706813.63236117,None,,1,2030,2016,ADA_APSPt_1,hseyedinejad,2016/08/17 18:42:05+00,ADA,2024/06/27 20:42:58+00,,{D0DA2F95-F453-4068-8837-CD47E6F24CD0},1
-8574717.38348815,4706822.18206414,None,,1,2030,2016,ADA_APSPt_2,sbennett,2016/09/14 21:14:34+00,ADA,2024/06/27 20:42:58+00,,{B7EFBE27-F836-4C6C-AA62-848D7B45A51D},2
-8575172.26847385,4710089.01386546,None,,1,2030,2016,ADA_APSPt_3,hseyedinejad,2016/09/06 19:09:28+00,ADA,2024/06/27 20:42:58+00,,{6E296EE8-31AB-42C3-B8EB-77304EB2F0A0},3
-8567174.48882348,4702974.01798206,Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_4,,,ADA,2024/06/27 20:42:58+00,,{362E3752-E434-4F32-A887-4B9C593EFDF5},4
-8574107.51451936,4717910.38379342,None,,1,2030,2016,ADA_APSPt_5,mkeke,2016/08/16 02:21:07+00,ADA,2024/06/27 20:42:58+00,,{036D45C0-3119-4556-8D1F-83D234512FC6},5
-8572970.74071086,4711103.49936057,None,,1,2030,2016,ADA_APSPt_6,sbennett,2016/08/26 17:18:40+00,ADA,2024/06/27 20:42:58+00,,{0D3503C4-252B-4767-8AB8-78DE0CD2ACFF},6
-8571077.44365284,4706208.49834714,None,,1,2030,2016,ADA_APSPt_7,hseyedinejad,2016/08/17 17:43:09+00,ADA,2024/06/27 20:42:58+00,,{51DC60AD-5EC4-4930-A4DD-59E5DFFA792E},7
-8575255.1506588,4711855.57513379,None,,1,2030,2016,ADA_APSPt_8,sbennett,2016/08/09 17:44:09+00,ADA,2024/06/27 20:42:58+00,,{A5AC378E-ABDA-4C1D-B992-09EAAAF01894},8
-8570832.1669707,4698321.6763771,None,,1,2030,2016,ADA_APSPt_9,dwilkins,2016/08/05 23:18:59+00,ADA,2024/06/27 20:42:58+00,,{00ECD7A0-A496-4668-A1A5-D094BEEAB693},9
-8565409.06564713,4707736.83018654,None,,1,2030,2016,ADA_APSPt_10,kshedrick,2016/08/05 19:19:56+00,ADA,2024/06/27 20:42:58+00,,{6CF77102-2EAF-486C-9E29-86BCC53C6B52},10
-8575458.22411014,4709806.79799417,None,,1,2030,2016,ADA_APSPt_11,hseyedinejad,2016/09/02 22:53:36+00,ADA,2024/06/27 20:42:58+00,,{D0349E46-C073-4958-A7D3-063E51972EC3},11
-8576251.06509117,4707281.68363649,None,,1,2030,2016,ADA_APSPt_12,dwilkins,2016/09/07 08:14:24+00,ADA,2024/06/27 20:42:58+00,,{F3EBAB32-A8BE-4A0A-B482-54AFDD1373FF},12
-8570676.58537525,4704387.34167414,None,,1,2030,2016,ADA_APSPt_13,dwilkins,2016/08/25 20:14:22+00,ADA,2024/06/27 20:42:58+00,,{D5703DCF-A745-4632-AFBE-C9D6FF615BCA},13
-8577050.60597754,4707683.38043517,Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_14,cbarreto,2017/02/23 18:15:09+00,ADA,2024/06/27 20:42:58+00,,{593ADB82-F417-4330-83B0-C8F2E5CE5E66},14
-8577521.71252628,4708099.38288345,None,,1,2030,2016,ADA_APSPt_15,pkhouri,2016/09/09 21:37:03+00,ADA,2024/06/27 20:42:58+00,,{D6C9953A-0127-4F8E-901D-5D25F00E9BA6},15
-8566006.65178931,4701827.43731935,None,,1,2030,2016,ADA_APSPt_16,cwright,2016/08/30 19:09:48+00,ADA,2024/06/27 20:42:58+00,,{6FB5D4BB-434E-4A55-9682-95A7D6C0A252},16
-8573575.91202584,4704689.69322886,None,,1,2030,2016,ADA_APSPt_17,,,ADA,2024/06/27 20:42:58+00,,{1E44C00A-0D28-4F14-B43C-91519248943A},17
-8575463.63737437,4709381.58403337,None,,1,2030,2016,ADA_APSPt_18,,,ADA,2024/06/27 20:42:58+00,,{AA6306FE-EFE7-43D1-8D21-B6BE86A2FAEF},18
-8569249.27021367,4705594.43679241,Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_19,dwilkins,2016/08/23 21:55:32+00,ADA,2024/06/27 20:42:58+00,,{515B502F-D05D-4AC4-A983-9925D4F4E7DE},19
-8569276.25782746,4707495.78912194,None,,1,2030,2016,ADA_APSPt_20,jmohammad,2016/08/26 15:43:53+00,ADA,2024/06/27 20:42:58+00,,{0E75AC0B-9BBF-47E8-93A0-377C8C64D2A5},20
-8569980.60900878,4706228.36028275,None,,1,2030,2016,ADA_APSPt_21,hseyedinejad,2016/08/19 20:36:25+00,ADA,2024/06/27 20:42:58+00,,{3127DB33-48FB-46BA-B3DC-8791A26FF0B7},21
-8564724.20340826,4705871.06405147,None,,1,2030,2016,ADA_APSPt_22,mkeke,2016/08/05 17:57:42+00,ADA,2024/06/27 20:42:58+00,,{9DDBE8DA-9288-4D9C-9862-6670DAB16C04},22
-8573568.12226194,4704976.26145777,Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_23,dwilkins,2016/09/02 23:02:00+00,ADA,2024/06/27 20:42:58+00,,{714977A2-570B-4F9E-8F68-1979012AE679},23
