X,Y,CONDITION,INTERSECTION_ID,NOTES,STATUS,ESTIMATED_YEAR_OF_IMPROVEMENT,YEAR_INSPECTED,GIS_ID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,GLOBALID,OBJECTID
-8574622.64096444,4708907.7582335,Fair,,YES,1,2030,2016,ADA_BusStopPt_1,,,ADA,2024/06/27 20:40:41+00,,{A270A3D2-37B1-4FEC-A896-9DD3178EC53C},1
-8574596.65542033,4708921.647045,Good,,YES,1,2030,2016,ADA_BusStopPt_2,,,ADA,2024/06/27 20:40:41+00,,{CF39B9CA-8530-44EA-8FFB-CB80BA752BD9},2
-8574292.23033462,4708991.34372259,Fair,,YES,1,2030,2016,ADA_BusStopPt_3,,,ADA,2024/06/27 20:40:41+00,,{D1B14860-BDE8-45E9-BC6C-1C4FD3A718E8},3
-8574536.52071349,4708882.04543669,Good,,"TEST; YES",5,2030,2016,ADA_BusStopPt_4,,,ADA,2024/06/27 20:40:41+00,,{3C9F3AD1-FCDD-40D2-9A91-31E87811AB4D},4
-8576126.02997939,4709144.59735176,Good,,NO,5,2030,2016,ADA_BusStopPt_5,,,ADA,2024/06/27 20:40:41+00,,{1C4CEAB3-EF21-4222-8118-B94483479C0B},5
-8574958.15065791,4708804.6849572,Good,,YES,1,2030,2016,ADA_BusStopPt_6,,,ADA,2024/06/27 20:40:41+00,,{80988B8A-673A-428E-82AA-AD7281F766FF},6
-8575002.23530658,4708730.57289708,Good,,No,1,2030,2016,ADA_BusStopPt_7,,,ADA,2024/06/27 20:40:41+00,,{77CDA1B7-C285-4483-8600-E5AA2C437194},7
-8574820.38287095,4708696.45756472,Good,,YES,1,2030,2016,ADA_BusStopPt_8,,,ADA,2024/06/27 20:40:41+00,,{F9FFAFB8-E1CE-4A96-A83A-3FFA275CAD81},8
-8574791.15715546,4708745.87899893,Good,,NO,1,2030,2016,ADA_BusStopPt_9,,,ADA,2024/06/27 20:40:41+00,,{AAFB955E-F19F-4D87-A44A-15003A5221DA},9
-8576502.20022928,4708932.44120251,Non-Compliant,,YES,1,2030,2016,ADA_BusStopPt_10,,,ADA,2024/06/27 20:40:41+00,,{8C2D0994-2469-4CBD-ADC6-D6D5021F18F8},10
-8576562.30453248,4708943.62454893,Fair,,NO,1,2030,2016,ADA_BusStopPt_11,,,ADA,2024/06/27 20:40:41+00,,{5277C6AA-A6FE-4E99-A366-D92562704452},11
-8576446.84269774,4708424.22724438,Non-Compliant,,NO,1,2030,2016,ADA_BusStopPt_12,,,ADA,2024/06/27 20:40:41+00,,{9E0462A1-40D5-41F8-8E45-47228774E45A},12
-8567000.29426241,4704764.41906659,Good,,NO,1,2030,2016,ADA_BusStopPt_13,,,ADA,2024/06/27 20:40:41+00,,{5441BE26-B2AE-48A0-9242-6472D02D53B3},13
